term,term_difference,en_tf,sm_tf
is,-0.00898751205996,0.0156142782382,0.0246017902982
it,-0.00667644102882,0.00791580540046,0.0145922464293
they,-0.00537794790657,0.00365252665408,0.00903047456065
are,-0.00416009357046,0.0108928913568,0.0150529849273
a,-0.00230300183899,0.0313226810413,0.0336256828803
plant,-0.00159180059859,0.00164982383371,0.0032416244323
called,-0.00153624450109,0.00103730910913,0.00257355361022
wa,-0.00150785130405,0.00438631048098,0.00589416178503
about,-0.00137531839894,0.00120810817909,0.00258342657803
he,-0.00136572090464,0.00138719162087,0.00275291252551
family,-0.00135311825162,0.00100981204523,0.00236293029685
animal,-0.00131765003525,0.00165246778217,0.00297011781742
can,-0.00118191765667,0.00356862535656,0.00475054301323
live,-0.0011690250612,0.000343184509,0.0015122095702
like,-0.0011669922988,0.000710517080524,0.00187750937932
there,-0.00105951047578,0.00151075214517,0.00257026262094
this,-0.00100556612703,0.00413495911486,0.00514052524189
people,-0.000995372263665,0.000628730941759,0.00162410320542
found,-0.000964560379925,0.00159253828393,0.00255709866386
specie,-0.000937900199472,0.00376656896396,0.00470446916343
make,-0.000829629154157,0.000547649855914,0.00137727901007
life,-0.000821748528161,0.000782608741634,0.0016043572698
small,-0.000797942858964,0.00102197420811,0.00181991706707
eat,-0.000773952466643,0.000182079916691,0.000956032383334
cell,-0.000772417646707,0.00223554654733,0.00300796419404
get,-0.000720227924278,0.000133783791644,0.000854011715922
or,-0.000698789044597,0.00669606384818,0.00739485289278
different,-0.000694772082676,0.000873384305134,0.00156815638781
because,-0.00068978315399,0.00090141015872,0.00159119331271
long,-0.000689413925565,0.000827732128539,0.0015171460541
also,-0.000675431224151,0.00318983567508,0.00386526689923
up,-0.000672449118411,0.000912162215756,0.00158461133417
many,-0.000665923702638,0.00168384263712,0.00234976633976
genus,-0.000665768931097,0.000997826145583,0.00166359507668
part,-0.00065770769997,0.000953231548368,0.00161093924834
not,-0.00065259060484,0.00327849607982,0.00393108668466
bird,-0.000650127267611,0.00095587549682,0.00160600276443
usually,-0.000648345706417,0.000873736831594,0.00152208253801
movie,-0.000646103724678,5.32314954895e-05,0.000699335220167
very,-0.000643859957741,0.000787720375307,0.00143158033305
do,-0.000635069177479,0.000635252681272,0.00127032185875
one,-0.000599637369567,0.002220740436,0.00282037780557
thing,-0.00059738926682,7.06815552692e-05,0.000668070822089
when,-0.000587600362517,0.00174571103089,0.0023333113934
all,-0.000582840253796,0.00148554650326,0.00206838675706
made,-0.000575573712512,0.000535135166577,0.00111070887909
tree,-0.000556505994705,0.000675969487425,0.00123247548213
his,-0.000552198400322,0.00137961230197,0.0019318107023
organism,-0.000543991305368,0.000688484176762,0.00123247548213
some,-0.000541266291841,0.00241568756849,0.00295695386033
mean,-0.000535270897269,0.000326968291831,0.0008622391891
their,-0.000513726356524,0.00355558187753,0.00406930823406
kind,-0.000502433603647,0.000127790841821,0.000630224445468
body,-0.000500890323819,0.00110182145134,0.00160271177516
grow,-0.000480840188518,0.000274441849262,0.000755282037781
have,-0.000478521141648,0.00484300851017,0.00532152965181
look,-0.000475806721259,0.000105052885138,0.000580859606398
america,-0.000469660779001,0.000474853141883,0.000944513920885
frog,-0.000459838140993,0.000176968283018,0.000636806424011
them,-0.000453369623856,0.000940364332571,0.00139373395643
living,-0.000434552105746,0.000366803781833,0.00080135588758
known,-0.000422698484444,0.00148607529295,0.0019087737774
group,-0.000419030584452,0.00111786140528,0.00153689198973
come,-0.000402853786357,0.000266862530368,0.000669716316725
fish,-0.000395532013589,0.000634547628352,0.00103007964194
sometimes,-0.000393695780687,0.000570564075826,0.000964259856513
year,-0.000393666382792,0.00148219750189,0.00187586388468
mammal,-0.000392000180156,0.000348472405903,0.000740472586059
only,-0.000380902943088,0.00143407764008,0.00181498058316
work,-0.000379157460574,0.000469917771441,0.000849075232015
name,-0.000377422552926,0.000855052929204,0.00123247548213
bacteria,-0.000377380353237,0.000407520587986,0.000784900941223
insect,-0.00036873009339,0.000356933040948,0.000725663134338
way,-0.000359691564269,0.000408754430597,0.000768445994866
water,-0.000352398629618,0.00116474742449,0.0015171460541
foot,-0.000344679126174,0.000290481803201,0.000635160929375
place,-0.000332937523037,0.00034336077223,0.000676298295268
shark,-0.000332527096432,8.70740356683e-05,0.0004196011321
biology,-0.000327796939292,0.000220152774392,0.000547949713684
human,-0.000326841462763,0.00145522922769,0.00178207069045
out,-0.000324418763937,0.000615158673041,0.000939577436978
go,-0.00032102088209,0.000141363110538,0.000462383992628
so,-0.000320022204363,0.000663983587778,0.000984005792141
help,-0.000311184658598,0.000304230335149,0.000615414993747
person,-0.000308469336475,0.000250998839659,0.000559468176134
lived,-0.000304208955415,0.000121974155228,0.000426183110643
dinosaur,-0.000303004062877,0.000251527629349,0.000554531692227
inside,-0.000301925327674,0.000158813170318,0.000460738497992
type,-0.000301641612091,0.000985135193016,0.00128677680511
baby,-0.000298858592555,0.000110869571731,0.000409728164286
what,-0.000297658153874,0.000260164527624,0.000557822681498
cat,-0.000295198262903,0.000297179805945,0.000592378068847
asia,-0.000286901642981,0.000251175102889,0.00053807674587
how,-0.00028302941924,0.000279729746165,0.000562759165405
food,-0.000282169035001,0.000894359629516,0.00117652866452
jumbo,-0.000281683004777,4.24794384536e-05,0.00032416244323
mostly,-0.000280076481393,0.000215217403949,0.000495293885342
dna,-0.000272699924961,0.000861045879027,0.00113374580399
white,-0.000268456357823,0.000546063486843,0.000814519844665
lot,-0.000266282297408,2.66157477448e-05,0.000292898045152
used,-0.000265840799666,0.00197696838878,0.00224280918844
order,-0.000264616536503,0.000457755608564,0.000722372145067
chromosome,-0.000263483129593,0.000383196262232,0.000646679391825
north,-0.000259054167598,0.000548883698524,0.000807937866123
cm,-0.000258676143414,0.000175734440407,0.000434410583821
egg,-0.000258069075354,0.000610752092289,0.000868821167643
evolution,-0.000253191828968,0.000352350196965,0.000605542025933
flowering,-0.000252080803299,0.000116509995095,0.000368590798394
ha,-0.000251861998423,0.00305393672467,0.0033057987231
africa,-0.000251367844173,0.00034265571931,0.000594023563483
tropical,-0.000249800515951,0.000168155121513,0.000417955637465
south,-0.000248400319334,0.000473971825733,0.000722372145067
australia,-0.000241883145633,0.000240246782623,0.000482129928256
fruit,-0.000241286210708,0.000459694504095,0.000700980714803
elephant,-0.000238447182088,0.000118625153856,0.000357072335944
leg,-0.000238071160922,0.000275323165413,0.000513394326334
will,-0.000237880086789,0.00099130440607,0.00122918449286
genetics,-0.000236627651151,0.000128672157971,0.000365299809123
first,-0.000236006885653,0.00128443015772,0.00152043704338
ago,-0.00023518514289,0.000246944785367,0.000482129928256
gene,-0.000234461938673,0.000948648704386,0.00118311064306
green,-0.000232662785961,0.000267567583288,0.000500230369249
which,-0.000227745778543,0.00426116358761,0.00448890936616
two,-0.000227503715053,0.00162532324473,0.00185282695978
million,-0.000222526480788,0.000402761480773,0.000625287961561
big,-0.000221626347699,5.97532350031e-05,0.000281379582703
word,-0.000220333267568,0.000319388972937,0.000539722240505
example,-0.000218388580805,0.000816627545043,0.00103501612585
born,-0.000217301161798,0.000164453593681,0.000381754755479
grows,-0.00021246734052,9.85311456246e-05,0.000310998486145
sea,-0.0002123500909,0.00036028204232,0.000572632133219
idea,-0.000212188414661,0.000164629856911,0.000376818271572
large,-0.00021086827552,0.0010857814974,0.00129664977292
common,-0.00020875088983,0.00107802591528,0.00128677680511
move,-0.000202616641993,0.000197238554479,0.000399855196472
flower,-0.000201912590581,0.000462867242237,0.000664779832818
need,-0.00020045349231,0.000247121048597,0.000447574540907
then,-0.000200079586117,0.000673678065433,0.00087375765155
fossil,-0.000198800091469,0.000472561719892,0.00067136181136
put,-0.000197361147511,8.56639298275e-05,0.000283025077338
bullfrog,-0.000194757395731,5.99294982332e-06,0.000200750345554
take,-0.000193486584886,0.000364336096612,0.000557822681498
keep,-0.000192372218825,0.000113689783413,0.000306062002238
good,-0.000191274442773,0.000197062291249,0.000388336734022
black,-0.000189926690934,0.000474853141883,0.000664779832818
together,-0.00018965010396,0.000290834329661,0.000480484433621
world,-0.00018843062443,0.000616216252422,0.000804646876851
same,-0.000186672445986,0.000637720366494,0.000824392812479
sex,-0.000186470685032,0.000264394845147,0.000450865530178
she,-0.000186109250857,0.000225264408065,0.000411373658922
back,-0.000185093983121,0.000413866064269,0.00059896004739
you,-0.000185075166183,6.99765023488e-05,0.000255051668532
named,-0.000182950987751,0.000292596961962,0.000475547949714
colour,-0.000182396588382,0.00017961223147,0.000362008819851
color,-0.000180907202663,0.000350587564664,0.000531494767327
much,-0.00018072637362,0.000591010610518,0.000771736984137
him,-0.000180585965159,0.000229142199127,0.000409728164286
change,-0.000175843447956,0.000567920127375,0.000743763575331
extinct,-0.000174349832291,0.00019917745001,0.000373527282301
shrub,-0.000173381553967,7.50881360216e-05,0.000248469689989
around,-0.000172868128866,0.000664688640699,0.000837556769565
largest,-0.000172775711327,0.000255052893951,0.000427828605279
happens,-0.000171489535893,2.43243257535e-05,0.000195813861647
europe,-0.000171028667527,0.000325910712451,0.000496939379978
discovered,-0.000170656098709,0.000237426570942,0.00040808266965
who,-0.000170021082086,0.000809048226149,0.000979069308234
female,-0.000169391744739,0.00114535846917,0.00131475021391
native,-0.000169203569268,0.000311280864353,0.000480484433621
forest,-0.000168572116949,0.000377732102099,0.000546304219048
time,-0.000168463551132,0.00119894249112,0.00136740604226
main,-0.000166674531553,0.000302291439618,0.000468965971171
said,-0.000166233929456,0.000172737965496,0.000338971894952
phylum,-0.000165508834178,8.46063504469e-05,0.000250115184624
done,-0.000159405427475,0.000121974155228,0.000281379582703
cretaceous,-0.000159103118865,8.44300872168e-05,0.000243533206082
includes,-0.000156908680226,0.000256110473332,0.000413019153558
leonardo,-0.000155565606155,3.36662769487e-05,0.000189231883104
man,-0.000154648547191,0.000136604003326,0.000291252550517
give,-0.000154436541147,0.000238836676782,0.000393273217929
nobel,-0.000154278205302,5.79906027022e-05,0.000212268808004
ocean,-0.000154246916345,0.0001797884947,0.000334035411045
happen,-0.000152801179646,2.32667463729e-05,0.000176067926019
start,-0.000152649412631,0.000132021159343,0.000284670571974
metre,-0.000152629370273,4.31844913739e-05,0.000195813861647
most,-0.000152229070711,0.00217614583879,0.0023283749095
got,-0.000151447972441,1.63924803991e-05,0.00016784045284
toad,-0.000151290638104,0.000100470041156,0.00025176067926
fur,-0.000151179067761,0.00012690952567,0.000278088593431
head,-0.000151130964884,0.000434665125421,0.000585796090305
brown,-0.000150688135858,0.000295240910414,0.000445929046271
inch,-0.000150633576106,5.34077587196e-05,0.000204041334825
fly,-0.000149596039083,0.000143302006069,0.000292898045152
we,-0.000149295957402,0.000115628678944,0.000264924636346
twin,-0.000148817385561,7.82608741634e-05,0.000227078259725
rna,-0.000147793210111,0.000227379566826,0.000375172776937
down,-0.000147341361414,0.000308460652671,0.000455802014085
just,-0.000146498015007,0.00021715629948,0.000363654314487
tail,-0.000145772807773,0.000389012948826,0.000534785756598
special,-0.000144830251084,0.000118448890626,0.00026327914171
