term,term_difference,en_tf,sm_tf
wa,-0.00678584468328,0.00523081206866,0.0120166567519
is,-0.00662911305895,0.0112174068697,0.0178465199286
year,-0.00461270252384,0.0025259054476,0.00713860797145
homo,-0.00441416964723,0.00260546152469,0.00701963117192
were,-0.00391229905598,0.00465403050976,0.00856632956573
are,-0.00390872589487,0.0058473716661,0.00975609756098
about,-0.00384274782999,0.00139223134907,0.00523497917906
tool,-0.00375926127568,0.00278446269814,0.00654372397383
ago,-0.00370352469508,0.00153145448398,0.00523497917906
they,-0.00336255283856,0.00282424073669,0.00618679357525
specie,-0.00326739553553,0.00149167644543,0.00475907198096
found,-0.00324786383237,0.00139223134907,0.00464009518144
it,-0.003211538272,0.00690148968754,0.0101130279595
not,-0.00318390898122,0.00288390779451,0.00606781677573
made,-0.00289200538213,0.00103422900217,0.0039262343843
man,-0.00279434686632,0.000537003520356,0.00333135038667
human,-0.00261558232605,0.00725949203445,0.0098750743605
people,-0.002533288403,0.00163089958034,0.00416418798334
there,-0.00225484213319,0.00190934585016,0.00416418798334
sapiens,-0.00215897019793,0.000815449790171,0.0029744199881
acheulean,-0.00196186658576,0.000417669404722,0.00237953599048
industry,-0.00194269219871,0.000198890192725,0.00214158239143
erectus,-0.00178215078009,0.000835338809443,0.00261748958953
stone,-0.00174130079321,0.00123311919489,0.0029744199881
lived,-0.00172427030282,0.000298335289087,0.00202260559191
ape,-0.0017235556706,0.000537003520356,0.00226055919096
africa,-0.00168163373539,0.00129278625271,0.0029744199881
group,-0.00164078374852,0.00169056663816,0.00333135038667
from,-0.00158456916888,0.0072197139959,0.00880428316478
at,-0.0015779008457,0.00282424073669,0.00440214158239
europe,-0.00156480083253,0.000576781558901,0.00214158239143
million,-0.00152359352954,0.00109389605999,0.00261748958953
these,-0.00146035331062,0.00234690427415,0.00380725758477
known,-0.00142557769763,0.000716004693809,0.00214158239143
palaeolithic,-0.00138722892352,0.000278446269814,0.00166567519334
one,-0.00136090821426,0.00244634937051,0.00380725758477
this,-0.0013555484726,0.00423636110503,0.00559190957763
clactonian,-0.00130874479477,0.0,0.00130874479477
age,-0.00128742651105,0.000497225481811,0.00178465199286
century,-0.00128706919494,0.000616559597446,0.00190362879239
neanderthal,-0.00128635456272,0.000855227828716,0.00214158239143
oldowan,-0.001268252124,0.000278446269814,0.00154669839381
time,-0.00126324969845,0.0019491238887,0.00321237358715
many,-0.0012440753114,0.0017303446767,0.0029744199881
but,-0.00122382897602,0.00186956781161,0.00309339678763
ancestor,-0.00120822775007,0.000457447443267,0.00166567519334
he,-0.00120393995674,0.00188945683088,0.00309339678763
our,-0.00116916434375,0.000258557250542,0.00142772159429
similar,-0.00116809239542,0.000616559597446,0.00178465199286
on,-0.00115630096376,0.00455458541339,0.00571088637716
by,-0.00114915464155,0.00694126772609,0.00809042236764
called,-0.00112831435687,0.000656337635991,0.00178465199286
figurine,-0.00110985460204,0.000198890192725,0.00130874479477
cave,-0.00110913996982,0.000437558423994,0.00154669839381
genus,-0.00108889363444,0.000576781558901,0.00166567519334
