term,term_difference,en_tf,sm_tf
is,-0.00606023468376,0.0118140686028,0.0178743032866
they,-0.00448395550562,0.00224293282803,0.00672688833365
people,-0.00414171154845,0.00162419273754,0.00576590428599
age,-0.00382654415948,0.00290034417418,0.00672688833365
it,-0.00347348964275,0.00728953169109,0.0107630213338
were,-0.00329288752067,0.00535596890831,0.00864885642898
bronze,-0.00325922948084,0.00135349394795,0.00461272342879
collapse,-0.002628110575,0.000831431996597,0.00345954257159
study,-0.00233691668883,0.00131482269229,0.00365173938113
before,-0.00207085577423,0.000812096368769,0.00288295214299
are,-0.00192237688239,0.00634208592753,0.00826446280992
he,-0.00191733022035,0.000773425113113,0.00269075533346
city,-0.00186164227436,0.00044471944004,0.0023063617144
wa,-0.00177891120637,0.00783092927027,0.00960984047665
make,-0.00170811672048,0.000406048184385,0.00211416490486
made,-0.00166596705859,0.00102478827488,0.00269075533346
found,-0.0015816677348,0.00226226845586,0.00384393619066
mosaic,-0.0015545911666,0.000367376928729,0.00192196809533
time,-0.00140996602184,0.00204957654975,0.00345954257159
when,-0.00135775648209,0.00114080204184,0.00249855852393
them,-0.00130206853609,0.000812096368769,0.00211416490486
history,-0.00130206853609,0.000812096368769,0.00211416490486
where,-0.00128157343952,0.00102478827488,0.0023063617144
this,-0.00126302193959,0.00411848872733,0.00538151066692
ancient,-0.00126223781169,0.0010441239027,0.0023063617144
or,-0.00124562990841,0.0070188329015,0.00826446280992
alexander,-0.00122936389976,0.000116013766967,0.00134537766673
buried,-0.00122820443102,0.000309370045245,0.00153757447626
my,-0.00119069264411,0.000154685022623,0.00134537766673
iron,-0.00118953317536,0.000348041300901,0.00153757447626
important,-0.00116903807879,0.000560733207007,0.0017297712858
long,-0.00116555967255,0.00114080204184,0.0023063617144
earthquake,-0.00113384522937,1.93356278278e-05,0.0011531808572
building,-0.00113268576062,0.000212691906106,0.00134537766673
might,-0.00113268576062,0.000212691906106,0.00134537766673
army,-0.00113152629188,0.000406048184385,0.00153757447626
ugarit,-0.0011133501328,0.000232027533934,0.00134537766673
thing,-0.00107583834589,7.73425113113e-05,0.0011531808572
battle,-0.00107467887714,0.00027069878959,0.00134537766673
destroyed,-0.00105534324931,0.000290034417418,0.00134537766673
who,-0.00105186484308,0.000870103252253,0.00192196809533
his,-0.00104838643684,0.00145017208709,0.00249855852393
show,-0.00103368868399,0.000696082601802,0.0017297712858
stone,-0.00103252921525,0.00088943888008,0.00192196809533
for,-0.00101476184322,0.00705750415716,0.00807226600038
aegean,-0.000998495834575,0.000154685022623,0.0011531808572
drought,-0.000979160206747,0.000174020650451,0.0011531808572
animal,-0.000974522331766,0.000947445763564,0.00192196809533
by,-0.000972612181333,0.00767624424765,0.00864885642898
include,-0.000957505641429,0.000580068834835,0.00153757447626
trade,-0.000940488951092,0.000212691906106,0.0011531808572
now,-0.000939329482346,0.000406048184385,0.00134537766673
like,-0.000939329482346,0.000406048184385,0.00134537766673
lived,-0.000902977164181,5.80068834835e-05,0.000960984047665
on,-0.000895645010865,0.00448586565606,0.00538151066692
stele,-0.000879003661372,0.000850767624425,0.0017297712858
egypt,-0.000861986971035,0.000483390695696,0.00134537766673
up,-0.000860827502289,0.000676746973974,0.00153757447626
lbk,-0.000859668033544,0.000870103252253,0.0017297712858
look,-0.000844970280698,0.000116013766967,0.000960984047665
so,-0.000820996777888,0.000908774507908,0.0017297712858
there,-0.000814039965416,0.00206891217758,0.00288295214299
war,-0.000806299025042,0.000154685022623,0.000960984047665
after,-0.000800501681315,0.00112146641401,0.00192196809533
abandoned,-0.000786963397214,0.000174020650451,0.000960984047665
did,-0.000785803928469,0.000367376928729,0.0011531808572
anatolia,-0.000767627769386,0.000193356278278,0.000960984047665
ground,-0.000766468300641,0.000386712556557,0.0011531808572
based,-0.000766468300641,0.000386712556557,0.0011531808572
lot,-0.000749451610304,1.93356278278e-05,0.000768787238132
fieldwork,-0.000749451610304,1.93356278278e-05,0.000768787238132
probably,-0.000747132672813,0.000406048184385,0.0011531808572
king,-0.000728956513731,0.000232027533934,0.000960984047665
destruction,-0.000709620885903,0.000251363161762,0.000960984047665
died,-0.000709620885903,0.000251363161762,0.000960984047665
terracotta,-0.000708461417158,0.00044471944004,0.0011531808572
egyptian,-0.000707301948412,0.000638075718319,0.00134537766673
culture,-0.000692228854722,0.00315170733594,0.00384393619066
darius,-0.000691444726821,7.73425113113e-05,0.000768787238132
ship,-0.000691444726821,7.73425113113e-05,0.000768787238132
provenience,-0.000672109098993,9.66781391392e-05,0.000768787238132
put,-0.000672109098993,9.66781391392e-05,0.000768787238132
carved,-0.000672109098993,9.66781391392e-05,0.000768787238132
every,-0.000672109098993,9.66781391392e-05,0.000768787238132
sea,-0.000669790161502,0.000483390695696,0.0011531808572
death,-0.000669790161502,0.000483390695696,0.0011531808572
used,-0.000654717067812,0.00299702231331,0.00365173938113
production,-0.000651614002419,0.000309370045245,0.000960984047665
empire,-0.000651614002419,0.000309370045245,0.000960984047665
being,-0.000648135596183,0.00088943888008,0.00153757447626
europe,-0.000644657189947,0.00146950771492,0.00211416490486
clothing,-0.000633437843337,0.000135349394795,0.000768787238132
today,-0.000633437843337,0.000135349394795,0.000768787238132
person,-0.000614102215509,0.000154685022623,0.000768787238132
mostly,-0.000614102215509,0.000154685022623,0.000768787238132
palace,-0.000614102215509,0.000154685022623,0.000768787238132
seen,-0.000614102215509,0.000154685022623,0.000768787238132
copy,-0.000614102215509,0.000154685022623,0.000768787238132
their,-0.000603666996801,0.00189489152713,0.00249855852393
in,-0.000592923329676,0.0261224331954,0.0267153565251
often,-0.000588969243954,0.00114080204184,0.0017297712858
digging,-0.000576590428599,0.0,0.000576590428599
everything,-0.000576590428599,0.0,0.000576590428599
kingdom,-0.000575430959853,0.000193356278278,0.000768787238132
took,-0.000575430959853,0.000193356278278,0.000768787238132
line,-0.000574271491108,0.000386712556557,0.000960984047665
weapon,-0.000574271491108,0.000386712556557,0.000960984047665
thought,-0.000574271491108,0.000386712556557,0.000960984047665
settlement,-0.000573112022363,0.000580068834835,0.0011531808572
israel,-0.000557254800771,1.93356278278e-05,0.000576590428599
struggle,-0.000557254800771,1.93356278278e-05,0.000576590428599
pain,-0.000557254800771,1.93356278278e-05,0.000576590428599
picture,-0.000557254800771,1.93356278278e-05,0.000576590428599
work,-0.000550297988299,0.0011794732975,0.0017297712858
serpopard,-0.000537919172943,3.86712556557e-05,0.000576590428599
tattoo,-0.000537919172943,3.86712556557e-05,0.000576590428599
build,-0.000537919172943,3.86712556557e-05,0.000576590428599
disease,-0.000537919172943,3.86712556557e-05,0.000576590428599
built,-0.000536759704198,0.000232027533934,0.000768787238132
how,-0.000535600235452,0.000425383812212,0.000960984047665
land,-0.000534440766707,0.000618740090491,0.0011531808572
infantry,-0.000518583545115,5.80068834835e-05,0.000576590428599
hittite,-0.00051742407637,0.000251363161762,0.000768787238132
italy,-0.00051742407637,0.000251363161762,0.000768787238132
called,-0.000516264607625,0.00044471944004,0.000960984047665
field,-0.000515105138879,0.000638075718319,0.0011531808572
remains,-0.000513945670134,0.000831431996597,0.00134537766673
dating,-0.000510467263898,0.00141150083143,0.00192196809533
