term,term_difference,en_tf,sm_tf
is,-0.00839832829928,0.0173217361631,0.0257200644624
it,-0.00560210452617,0.011119182126,0.0167212866522
asteroid,-0.00292297478472,0.00170620418497,0.00462917896968
are,-0.00277531416385,0.0066993605498,0.00947467471365
they,-0.00234372858704,0.00182036931793,0.00416409790497
light,-0.00188703036011,0.00164974889944,0.00353677925955
very,-0.00176560428579,0.00116548800576,0.00293109229155
earth,-0.00169211616191,0.00359682896934,0.00528894513125
wa,-0.00166612956425,0.00744080663312,0.00910693619737
the,-0.00152367928929,0.0825802825524,0.0841039618417
moon,-0.00148302373301,0.00142643688111,0.00290946061412
galaxy,-0.00147235940731,0.00250786923952,0.00398022864683
sun,-0.00142573146227,0.00267347141042,0.00409920287269
called,-0.00140871966966,0.00107892323461,0.00248764290427
sky,-0.0013480066325,0.000836792787775,0.00218479942027
this,-0.00132899606498,0.00485766367955,0.00618665974453
planet,-0.00129862161478,0.0026383436772,0.00393696529197
constellation,-0.001255567781,0.00180531457512,0.00306088235612
found,-0.00122791087658,0.000891993511406,0.00211990438799
made,-0.00119069232898,0.000691263607292,0.00188195593627
space,-0.00114391177184,0.00191697058429,0.00306088235612
he,-0.00114389255793,0.00231717583061,0.00346106838855
like,-0.00110925998974,0.000513115817391,0.00162237580713
when,-0.00109876675731,0.00156192956639,0.0026606963237
named,-0.00106989335243,0.000563298293419,0.00163319164585
nebula,-0.00106706088961,0.000944685111236,0.00201174600084
make,-0.00106400079091,0.000417769112937,0.00148176990385
people,-0.00105278585667,0.000255930627745,0.00130871648442
about,-0.00103307316762,0.00195209831751,0.00298517148512
orbit,-0.00102765545812,0.00250912380142,0.00353677925955
astronomer,-0.000981845650765,0.00117050625336,0.00215235190413
telescope,-0.000977834748916,0.00138001809078,0.0023578528397
can,-0.000869447626795,0.00261325243918,0.00348270006598
other,-0.000859772532042,0.00215784646922,0.00301761900127
or,-0.000839413531315,0.00389792382551,0.00473733735683
there,-0.000827800600658,0.00143270969061,0.00226051029127
also,-0.00082107105393,0.00247775975391,0.00329883080783
way,-0.000790734298801,0.000885720701902,0.0016764550007
because,-0.000784347304991,0.00115168782485,0.00193603512984
many,-0.000777808431807,0.0010500683109,0.0018278767427
group,-0.000767182900269,0.00061724445515,0.00138442735542
after,-0.000745246731358,0.00130976262434,0.0020550093557
astronomy,-0.000733841856312,0.000866902273392,0.0016007441297
so,-0.000720915989318,0.00103124988238,0.0017521658717
all,-0.000720022461503,0.00128090770063,0.00200093016213
one,-0.000701925734798,0.00251037836332,0.00321230409812
big,-0.000686872091089,0.000383895941618,0.00107076803271
universe,-0.000685350732774,0.00170494962307,0.00239030035584
see,-0.000680523158715,0.000563298293419,0.00124382145213
look,-0.000677120873466,0.000101619513958,0.000778740387423
up,-0.000676550318302,0.000686245359689,0.00136279567799
comet,-0.000676074733543,0.0014113821383,0.00208745687184
how,-0.000662940444571,0.000267221684852,0.000930162129422
solar,-0.000651040038131,0.00237739480185,0.00302843483998
part,-0.000642506053707,0.000752737140427,0.00139524319413
thing,-0.000638571641095,7.52737140427e-05,0.000713845355138
star,-0.000632237892588,0.00770677375607,0.00833901164866
main,-0.000631158087631,0.000536952493505,0.00116811058114
seen,-0.000628953088945,0.000560789169618,0.00118974225856
used,-0.000625626193833,0.00135367229087,0.0019792984847
mean,-0.000612301597684,0.000642335693164,0.00125463729085
go,-0.00060123890919,0.000134238123376,0.000735477032566
year,-0.000561262922543,0.00228330265929,0.00284456558184
come,-0.000542711656814,0.000268476246752,0.000811187903566
billion,-0.000539347066633,0.000434078417646,0.000973425484279
belt,-0.000538966818646,0.000585880407632,0.00112484722628
gas,-0.000535298103349,0.000730155026214,0.00126545312956
biggest,-0.000531534784013,2.00729904114e-05,0.000551607774425
thought,-0.000528360134643,0.000466697027065,0.000995057161708
scientist,-0.000527447759294,0.000402714370128,0.000930162129422
object,-0.000526496223409,0.00256683364886,0.00309332987226
we,-0.000519008012541,0.000346259084596,0.000865267097137
out,-0.000513058175688,0.00068749992159,0.00120055809728
greek,-0.000510492142917,0.000462933341363,0.000973425484279
around,-0.000507526281891,0.00150421971895,0.00201174600084
some,-0.000498611316745,0.00145905549053,0.00195766680727
our,-0.000481028968968,0.000449133160455,0.000930162129422
away,-0.000476029568899,0.000767791883235,0.00124382145213
black,-0.000463027579034,0.00110526903453,0.00156829661356
will,-0.000457629083444,0.00126208927212,0.00171971835556
hole,-0.000450691114738,0.000998631272966,0.0014493223877
shape,-0.000448923639377,0.000383895941618,0.000832819580994
list,-0.000445103044705,0.000160583923291,0.000605686967996
get,-0.000444970012864,0.00010663776156,0.000551607774425
think,-0.000444057637515,4.26551046242e-05,0.00048671274214
bigger,-0.000443753512399,2.13275523121e-05,0.000465081064711
travel,-0.000439096298882,0.000274749056256,0.000713845355138
what,-0.000438754112331,0.000339986275093,0.000778740387423
them,-0.000433621680422,0.000604698836143,0.00103832051656
name,-0.00042788099828,0.000826756292569,0.00125463729085
first,-0.000423280327366,0.00202109922205,0.00244437954941
move,-0.000415905934437,0.000254676065844,0.000670582000281
mirror,-0.000408074437916,0.000240875884937,0.000648950322853
together,-0.000406344657623,0.000253421503944,0.000659766161567
gravity,-0.000405926348201,0.000491788265079,0.00089771461328
different,-0.000396593073633,0.000684990797788,0.00108158387142
place,-0.000387659260953,0.000326186094185,0.000713845355138
southern,-0.000375075580511,0.000425296484341,0.000800372064852
take,-0.000372604518145,0.000341240836994,0.000713845355138
idea,-0.000372338454464,0.000233348513532,0.000605686967996
