term,term_difference,en_tf,sm_tf
it,-0.0269513017576,0.0094887109464,0.036440012704
is,-0.0215781597303,0.0217231939614,0.0433013536916
chemical,-0.00696376315819,0.00252825791122,0.00949202106941
make,-0.00588459913048,0.000671127542455,0.00655572667294
made,-0.00512367928916,0.000748909503786,0.00587258879294
a,-0.00452567407089,0.0340416539611,0.038567328032
can,-0.00386035553155,0.00493055034523,0.00879090587678
used,-0.00382703452331,0.00485001504014,0.00867704956345
compound,-0.00362933198578,0.00271066693558,0.00633999892136
are,-0.00320950366243,0.00964427486906,0.0128537785315
when,-0.00268173703934,0.00181858355607,0.00450032059541
also,-0.00265201923837,0.00356213849457,0.00621415773294
they,-0.00230425718469,0.0016747213444,0.0039789785291
very,-0.00222260519038,0.000995333770656,0.00321793896103
acid,-0.00203459330441,0.0036702072373,0.00570480054172
ion,-0.00193657290853,0.00165888961776,0.00359546252629
formula,-0.00170358127148,0.000537590369905,0.00224117164139
water,-0.00168556061947,0.00247319103594,0.00415875165541
reacting,-0.00167431654379,0.000129407156904,0.00180372370069
not,-0.00162724324531,0.00303487316378,0.00466211640909
called,-0.00158586898252,0.000960916973607,0.00254678595612
atom,-0.00157353898456,0.00190806722839,0.00348160621296
metal,-0.00156692282211,0.00263976833366,0.00420669115576
us,-0.00142780713671,0.000561682127839,0.00198948926455
chemistry,-0.00135860067627,0.00100841215353,0.00236701282981
toxic,-0.00135047633886,0.000381338111303,0.00173181445016
reacts,-0.00134962684659,0.000346232978313,0.0016958598249
contains,-0.0013198258152,0.000382026447244,0.00170185226244
like,-0.0013045558547,0.000625009034409,0.00192956488911
ii,-0.00130014267496,0.000617437339058,0.00191758001402
copper,-0.00128244168336,0.00093476020785,0.00221720189121
an,-0.00127534507539,0.00504068409579,0.00631602917119
element,-0.0012677106788,0.00242363084819,0.00369134152699
solid,-0.00125349470629,0.000801911371241,0.00205540607753
dissolve,-0.0012503084472,0.000247800938753,0.00149810938595
property,-0.00124388574659,0.0013808018976,0.00262468764419
agent,-0.00120531347144,0.000748221167845,0.00195353463929
preparation,-0.00118900739988,0.000249177610635,0.00143818501052
sodium,-0.00113792572229,0.00134294342085,0.00248086914314
mercury,-0.0011180282198,0.00030217947809,0.00142020769789
chloride,-0.00109558033069,0.00104971230999,0.00214529264069
ha,-0.00106799442959,0.00342034129073,0.00448833572032
oxidation,-0.00104055716603,0.000960916973607,0.00200147413964
some,-0.00103495165217,0.00176351668079,0.00279846833296
oxidizing,-0.00103219337514,0.000178279008714,0.00121047238385
thing,-0.0010318319139,4.68068439866e-05,0.00107863875789
be,-0.0010144775301,0.00658393327547,0.00759841080556
potassium,-0.000995092407391,0.000742714480317,0.00173780688771
people,-0.000958258265362,0.000240229243402,0.00119848750876
arsenic,-0.000948497273409,0.000375831423775,0.00132432869718
oxide,-0.000924831587738,0.00126240811576,0.00218723970349
doe,-0.000924161499957,0.000448106697578,0.00137226819753
because,-0.000848426298289,0.0013388134052,0.00218723970349
substance,-0.000845767218812,0.000748221167845,0.00159398838666
dioxide,-0.000843255609546,0.000804664715005,0.00164792032455
strong,-0.000825082554049,0.000505238580679,0.00133032113473
hydrogen,-0.000825016033236,0.00166783798499,0.00249285401823
molecule,-0.000788656236123,0.00168022803193,0.00246888426805
iodine,-0.00078216855325,0.000290477767093,0.00107264632034
liquid,-0.000765639366587,0.000714492706737,0.00148013207332
antimony,-0.000748928123178,0.000227839196464,0.000976767319643
found,-0.000730039359501,0.00115158602926,0.00188162538876
easily,-0.000729046959056,0.000265697673218,0.000994744632274
iron,-0.000725794179156,0.000874186645044,0.0015999808242
carbon,-0.000725370759146,0.0017015664461,0.00242693720525
state,-0.000717759915222,0.00164925291459,0.00236701282981
if,-0.000717048397848,0.000876939988808,0.00159398838666
air,-0.00070316423331,0.000711051027032,0.00141421526034
them,-0.000702319303077,0.000472198455512,0.00117451775859
symbol,-0.000671997935141,0.00023885257152,0.000910850506661
get,-0.000669612895674,6.7456922216e-05,0.00073706981789
or,-0.000667813917481,0.00627142875826,0.00693924267574
colorless,-0.000660339934757,0.000106692070852,0.000767032005609
electron,-0.000656783461586,0.00162034280507,0.00227712626665
many,-0.00065265800798,0.00142072538218,0.00207338339016
together,-0.000645558005293,0.00025330762628,0.000898865631573
how,-0.00063944584101,0.00017552566495,0.000814971505959
white,-0.000624541903786,0.000346232978313,0.000970774882099
heated,-0.000599158614176,0.000185850704064,0.00078500931824
different,-0.000594365725042,0.000861796598106,0.00145616232315
proton,-0.000593849950533,0.000388909806653,0.000982759757186
