term,term_difference,en_tf,sm_tf
is,-0.0110372140764,0.0161013874764,0.0271386015528
computer,-0.00766041767496,0.00387993838724,0.0115403560622
it,-0.00626448725988,0.00792639773531,0.0141908849952
a,-0.006089111069,0.0387470487133,0.0448361597823
can,-0.00359674804736,0.00555109517268,0.00914784322004
are,-0.00279580100767,0.00764212266648,0.0104379236741
used,-0.00182938710256,0.00387042290377,0.00569981000633
called,-0.00180884128149,0.00114661575883,0.00295545704032
program,-0.00169828229114,0.00200776701339,0.00370604930453
they,-0.00165926368656,0.00169494549412,0.00335420918068
that,-0.00153714555325,0.00925261824475,0.010789763798
instruction,-0.00145060489766,0.00135238808899,0.00280299298665
like,-0.00144959825914,0.000837362545868,0.00228696080501
different,-0.00131916801354,0.00119062486991,0.00250979288345
there,-0.001300711049,0.00142018590876,0.00272089695776
make,-0.00122079401961,0.000761238678061,0.00198203269768
cache,-0.00118938609437,0.000323526438176,0.00151291253255
operating,-0.00118284055861,0.00171397646107,0.00289681701968
time,-0.00118172607493,0.00196137903144,0.00314310510637
processor,-0.0011541941725,0.00141423873159,0.00256843290409
be,-0.00113511574866,0.007977543459,0.00911265920766
thing,-0.00110195832133,0.000117754108013,0.00121971242934
this,-0.00108564080889,0.00514192938322,0.0062275701921
system,-0.00108229735786,0.00588413709433,0.00696643445218
run,-0.00102246601857,0.00085401464195,0.00187648066052
or,-0.0010197319743,0.00750652702695,0.00852625900124
will,-0.000985552089482,0.00131313671966,0.00229868880914
if,-0.000974997074088,0.00181626790844,0.00279126498253
work,-0.000931328572927,0.000745776017413,0.00167710459034
made,-0.00090325618923,0.000656568359828,0.00155982454906
how,-0.000885672406388,0.00040440804772,0.00129008045411
people,-0.00087815312551,0.000271191279059,0.00114934440457
many,-0.000865494062359,0.00167948283347,0.00254497689583
data,-0.000858050360975,0.00346958316235,0.00432763352333
more,-0.000852277443501,0.00237292369177,0.00322520113527
most,-0.000846463095407,0.00169851380042,0.00254497689583
example,-0.000829029216081,0.00193877975819,0.00276780897427
science,-0.000824320814445,0.000430575627279,0.00125489644172
part,-0.000822399563606,0.000819521014351,0.00164192057796
do,-0.000818382174491,0.00102291447365,0.00184129664814
you,-0.000797720598777,0.000152247735612,0.000949968334389
usually,-0.000794851214477,0.00077670133871,0.00157155255319
use,-0.000789145967016,0.00269407125908,0.00348321722609
way,-0.0007863338323,0.000714850696117,0.00150118452842
same,-0.000782799047134,0.00138688171659,0.00216968076373
very,-0.000774580844252,0.000632779651139,0.00140736049539
what,-0.000722669784027,0.000403218612286,0.00112588839631
an,-0.000720276349667,0.00594122999518,0.00666150634485
on,-0.000714354784151,0.00770635217994,0.00842070696409
need,-0.000705759939269,0.000689872551993,0.00139563249126
mean,-0.000701950330992,0.000459122077706,0.0011610724087
have,-0.000696611305101,0.00302116600356,0.00371777730866
cpu,-0.000681688497986,0.000901592059329,0.00158328055731
not,-0.000678761864102,0.00412971982848,0.00480848169259
but,-0.00067669008201,0.00234913498308,0.00302582506509
one,-0.000675650550091,0.00284275068839,0.00351840123848
computing,-0.000671906728616,0.000594717717236,0.00126662444585
kind,-0.00066431249598,0.000215287813639,0.000879600309619
game,-0.000660486441002,0.000488857963568,0.00114934440457
ipad,-0.000593403989941,0.000673220455911,0.00126662444585
when,-0.000581169025682,0.00179961581235,0.00238078483804
device,-0.000580046632523,0.00313773067613,0.00371777730866
usb,-0.000574040322557,0.000716040131552,0.00129008045411
another,-0.000567236410383,0.000699388035469,0.00126662444585
doe,-0.000564857539514,0.000701766906338,0.00126662444585
word,-0.000553054583628,0.000455553771402,0.00100860835503
io,-0.000539164026686,0.000610180377884,0.00114934440457
he,-0.000524483149281,0.000402029176851,0.000926512326132
because,-0.000502391463894,0.000975337056266,0.00147772852016
so,-0.000501035678243,0.000988420846045,0.00148945652429
also,-0.000500828525144,0.00309966874223,0.00360049726738
card,-0.00049979627497,0.000825468191523,0.00132526446649
cloud,-0.000498431952101,0.000252160312108,0.000750592264208
internet,-0.000491869341901,0.000469826996616,0.000961696338517
person,-0.000485988579268,0.00013559563953,0.000621584218798
released,-0.000484142280186,0.000770754161537,0.00125489644172
iphone,-0.000475200799118,0.000990799716914,0.00146600051603
we,-0.00047281339103,0.000406786918589,0.000879600309619
often,-0.000462308343474,0.00107406019733,0.0015363685408
picture,-0.000459463315357,0.000103480882799,0.000562944198156
memory,-0.000459447496393,0.00228490546962,0.00274435296601
then,-0.000459072737604,0.00105383979494,0.00151291253255
get,-0.000456943078191,0.000199825152991,0.000656768231182
about,-0.00044719482996,0.00056141352507,0.00100860835503
other,-0.000442945303827,0.00279398383557,0.0032369291394
store,-0.000429827365173,0.000461500948575,0.000891328313748
information,-0.000420985819782,0.00100983068387,0.00143081650365
change,-0.000413033902793,0.000572118443981,0.000985152346774
controller,-0.000411220497113,0.000198635717557,0.000609856214669
take,-0.000410796398221,0.000480531915526,0.000891328313748
ha,-0.000410115178391,0.00270953391973,0.00311964909812
written,-0.000406013672564,0.000403218612286,0.00080923228485
screen,-0.000388197124966,0.000503131188781,0.000891328313748
inside,-0.000380436542114,0.00013559563953,0.000516032181643
filter,-0.000374847049293,0.000199825152991,0.000574672202285
problem,-0.000373100685889,0.00116326785491,0.0015363685408
look,-0.000372609544722,0.000108238624537,0.000480848169259
lot,-0.000369872989501,5.23351591167e-05,0.000422208148617
sometimes,-0.000369473874528,0.000416302402065,0.000785776276593
hard,-0.000365547883873,0.000361588372079,0.000727136255952
them,-0.000357654471942,0.000674409891345,0.00103206436329
needed,-0.000356007416478,0.000289032810576,0.000645040227054
faster,-0.000350392939738,0.000271191279059,0.000621584218798
today,-0.000348321785383,0.00016771039626,0.000516032181643
port,-0.000347190855006,0.000919433590846,0.00126662444585
give,-0.000339163986259,0.000235508216025,0.000574672202285
two,-0.000335662722232,0.00157600195067,0.00191166467291
each,-0.00033157038136,0.00153318227503,0.00186475265639
joystick,-0.000328741799943,5.82823362891e-05,0.000387024136232
clause,-0.000328575449727,7.01766906338e-05,0.000398752140361
want,-0.000326196578858,7.25555615027e-05,0.000398752140361
logic,-0.000325772479967,0.000354451759472,0.000680224239439
answer,-0.00032517349364,6.18506425925e-05,0.000387024136232
equation,-0.000314851243001,0.00021290894277,0.000527760185772
something,-0.000312089703861,7.49344323717e-05,0.000387024136232
write,-0.000309927151047,0.000229561038853,0.0005394881899
type,-0.000309012538725,0.00113353196905,0.00144254450778
air,-0.00030790596453,0.000290222246011,0.000598128210541
read,-0.000307598248017,0.000396081999679,0.000703680247695
certain,-0.000305884778013,0.000350883453169,0.000656768231182
server,-0.000302824059578,0.000905160365632,0.00120798442521
big,-0.000293058736909,9.39653993232e-05,0.000387024136232
parallelism,-0.000292892386693,0.000105859753668,0.000398752140361
special,-0.000287186511495,0.000346125711431,0.000633312222926
again,-0.000285755774086,0.000112996366275,0.000398752140361
