term,term_difference,en_tf,sm_tf
is,-0.0103692426247,0.0122289081464,0.022598150771
people,-0.00458395449091,0.00109741158322,0.00568136607413
it,-0.00383996120265,0.00661566207663,0.0104556232793
money,-0.00363467905019,0.00144194777795,0.00507662682814
a,-0.00355026266868,0.0327181778998,0.0362684405685
they,-0.00333688720294,0.00237630725256,0.0057131944555
he,-0.00289825827907,0.00257622331617,0.00547448159524
are,-0.0028907302804,0.00632358612554,0.00921431640594
or,-0.00255822350402,0.00697437671559,0.00953260021962
can,-0.00223793062802,0.0027591252467,0.00499705587472
called,-0.00199790804929,0.000707504366961,0.00270541241625
thing,-0.00192312471539,0.000161634264195,0.00208475897958
make,-0.00178989819856,0.000581316213335,0.00237121441189
get,-0.00167275119771,0.000157380730927,0.00183013192864
person,-0.00162505948457,0.000443785304326,0.0020688447889
wa,-0.00161482928477,0.00583301195526,0.00744784124003
good,-0.00156996698772,0.00164469953041,0.00321466651813
country,-0.00155779767352,0.00232526485334,0.00388306252686
many,-0.00154161009927,0.00167305641887,0.00321466651813
will,-0.00152486300932,0.00141926226719,0.00294412527651
not,-0.00150923488308,0.00391750414011,0.00542673902319
work,-0.00145851679403,0.00135829495701,0.00281681175104
company,-0.00141903967484,0.00176379846192,0.00318283813677
if,-0.00136572110248,0.00141926226719,0.00278498336967
when,-0.00131167134867,0.00139374106758,0.00270541241625
pay,-0.00129137647744,0.000681983167351,0.0019733596448
this,-0.00123380430412,0.00389056509607,0.00512436940019
used,-0.00123258996303,0.00148873664391,0.00272132660694
who,-0.00120518678067,0.00156388239831,0.00276906917899
how,-0.00119916573105,0.000487738481432,0.00168690421249
do,-0.00118344863557,0.000710340055806,0.00189378869138
loan,-0.00117794892362,0.000795410721172,0.0019733596448
like,-0.00115284100343,0.000486320637009,0.00163916164043
something,-0.00115056483028,9.07420430571e-05,0.00124130687334
there,-0.00113695858264,0.00155253964293,0.00268949822557
because,-0.00113228542952,0.00096838774075,0.00210067317027
what,-0.00105958117356,0.000595494657562,0.00165507583112
be,-0.00105572810344,0.00551683264899,0.00657256075242
one,-0.00101715389913,0.00213385585626,0.0031510097554
for,-0.0010170138679,0.0102184047549,0.0112354186228
very,-0.000966906288844,0.000449456682017,0.00141636297086
world,-0.000939534876385,0.00159082144234,0.00253035631873
way,-0.000928649918884,0.000630940768131,0.00155959068702
business,-0.000899860662002,0.00177372337288,0.00267358403488
usually,-0.000880589444799,0.000615344479481,0.00149593392428
service,-0.000875611070526,0.00186162972709,0.00273724079762
