term,term_difference,en_tf,sm_tf
is,-0.00836251330108,0.0171089396114,0.0254714529125
it,-0.00416325404198,0.00649317013568,0.0106564241777
or,-0.00281111428038,0.00949142420115,0.0123025384815
energy,-0.00232271598303,0.00186476777243,0.00418748375545
make,-0.00215094850111,0.000563696140357,0.00271464464146
can,-0.00203899762109,0.00425666761124,0.00629566523233
building,-0.00200517952207,0.00180687465531,0.00381205417738
to,-0.00189674043831,0.0242389340354,0.0261356744737
elevator,-0.00181906848764,0.00144428092178,0.00326334940942
people,-0.00169829178757,0.000438768887629,0.0021370606752
a,-0.00164164925674,0.0365366509136,0.0381783001704
are,-0.00129100499317,0.00890335201148,0.0101943570046
made,-0.00114996539852,0.000929336880049,0.00207930227857
there,-0.00105496932547,0.00125536653961,0.00231033586508
machine,-0.00104054261759,0.00092324286772,0.00196378548531
many,-0.00103773926985,0.00147475098342,0.00251249025327
brick,-0.00101182392233,0.00020110240683,0.00121292632917
up,-0.00099828869277,0.000792221602664,0.00179051029543
compressor,-0.000982405842058,0.000432674875301,0.00141508071736
from,-0.000972167084752,0.00483255177625,0.005804718861
university,-0.00096994837642,0.000560649134193,0.00153059751061
thing,-0.000946784811525,6.3987129446e-05,0.00101077194097
year,-0.000943442581816,0.000847067713618,0.00179051029543
de,-0.000924916886413,0.000316888641066,0.00124180552748
called,-0.000919983793377,0.00113043928688,0.00205042308026
mean,-0.000901592818464,0.000542367097209,0.00144395991567
they,-0.000864842458878,0.00196531897584,0.00283016143472
some,-0.000861660732223,0.00202625909912,0.00288791983135
like,-0.00084674670751,0.000597213208162,0.00144395991567
water,-0.000827040117928,0.00318716844764,0.00401420856557
travel,-0.000803306080831,0.000322982653394,0.00112628873422
if,-0.000798507708285,0.00107864018209,0.00187714789037
place,-0.000794030341848,0.000390016789004,0.00118404713085
so,-0.000760622211971,0.00102988808346,0.00179051029543
engineer,-0.000733821193822,0.0020963402409,0.00283016143472
used,-0.000733070243679,0.0043785478578,0.00511161810148
because,-0.000727644026129,0.000831832682798,0.00155947670893
heating,-0.000708714169253,0.000475332961599,0.00118404713085
use,-0.000698309101217,0.0023340067217,0.00303231582291
more,-0.000693671231726,0.0023675237895,0.00306119502123
time,-0.00068959802676,0.00150522104506,0.00219481907182
get,-0.000666999126392,0.000112739228071,0.000779738354463
this,-0.000666844431014,0.00409822329071,0.00476506772172
national,-0.000657588666918,0.000237666480799,0.000895255147717
aerospace,-0.000628709468604,0.000237666480799,0.000866375949404
example,-0.000607867742293,0.00135591774302,0.00196378548531
different,-0.000583517475544,0.000716046448562,0.00129956392411
build,-0.000571085792468,0.000179773363682,0.00075085915615
about,-0.000568282444723,0.000731281479382,0.00129956392411
system,-0.000566832109563,0.00396720202565,0.00453403413521
kind,-0.000565126500631,0.000127974258892,0.000693100759523
traction,-0.000563670357794,0.000100551203415,0.000664221561209
work,-0.000556472798976,0.00123403749646,0.00179051029543
other,-0.000548736358195,0.00259909625797,0.00314783261617
very,-0.000545093097265,0.000898866818408,0.00144395991567
car,-0.000540994109737,0.000700811417741,0.00124180552748
go,-0.000539294308482,0.000124927252728,0.000664221561209
ladder,-0.000539159587991,0.000182820369846,0.000721979957836
part,-0.000527863041645,0.00111825126222,0.00164611430387
electricity,-0.000516239681515,0.000234619474635,0.00075085915615
usually,-0.000514084153661,0.00116090934852,0.00167499350218
most,-0.000512871669243,0.00168194740258,0.00219481907182
down,-0.00051119765055,0.000441815893794,0.000953013544344
need,-0.000509472066732,0.000530179072552,0.00103965113928
plane,-0.00050868952635,0.000213290431487,0.000721979957836
door,-0.000499548507858,0.000222431449979,0.000721979957836
move,-0.000499144346385,0.000396110801332,0.000895255147717
barrier,-0.000484313477037,0.000237666480799,0.000721979957836
french,-0.000479810328036,0.000213290431487,0.000693100759523
way,-0.000468404843762,0.000542367097209,0.00101077194097
aircraft,-0.000467865961799,0.00077393956568,0.00124180552748
hot,-0.000465761999071,0.000371734752019,0.00083749675109
cable,-0.000464710017707,0.000170632345189,0.000635342362896
france,-0.000464710017707,0.000170632345189,0.000635342362896
sometimes,-0.000457672961943,0.000581978177342,0.00103965113928
an,-0.000457492484002,0.00523170958375,0.00568920206775
rope,-0.000451200570705,9.7504197251e-05,0.000548704767956
interstellar,-0.000446427980722,0.000188914382174,0.000635342362896
engineering,-0.000445490744962,0.00385750980374,0.0043030005487
history,-0.000444432955922,0.000393063795168,0.00083749675109
who,-0.000442707372104,0.000481426973927,0.000924134346031
sector,-0.000442059552212,0.000106645215743,0.000548704767956
resilience,-0.000440738129867,2.13290431487e-05,0.000462067173015
them,-0.000430249906466,0.000609401232819,0.00103965113928
waterwheel,-0.000430006248047,6.09401232819e-05,0.000490946371329
do,-0.000427607061774,0.000438768887629,0.000866375949404
radiant,-0.000426959241883,6.3987129446e-05,0.000490946371329
