term,term_difference,en_tf,sm_tf
is,-0.0120267284411,0.0168372560788,0.0288639845199
word,-0.00937967201127,0.00497169459359,0.0143513666049
he,-0.00609313979411,0.0030981848854,0.00919132467951
it,-0.00461270647429,0.00667488523739,0.0112875917117
people,-0.00422782094835,0.000851595321903,0.00507941627026
are,-0.0040210968158,0.00855650537722,0.012577602193
language,-0.00377145402889,0.0153368262259,0.0191082802548
linguistics,-0.00335141567025,0.00180862625509,0.00516004192534
wa,-0.00324592643844,0.00465538775974,0.00790131419818
a,-0.00293807072275,0.0363266233029,0.0392646940256
study,-0.00289771015986,0.0021817061104,0.00507941627026
they,-0.00274265463618,0.00249801294425,0.00524066758042
formula,-0.00259576316466,6.48834530974e-05,0.00266064661775
or,-0.00245200784005,0.0080293273208,0.0104813351608
text,-0.00234574895751,0.00144365683142,0.00378940578892
how,-0.00229184790377,0.00101380395465,0.00330565185842
part,-0.00199511256222,0.00074615971062,0.00274127227284
english,-0.00197264229193,0.00318739963341,0.00516004192534
called,-0.00195456040403,0.000786711868806,0.00274127227284
list,-0.00187728537797,0.000218981654204,0.00209626703217
mean,-0.0016320577837,0.000786711868806,0.0024187696525
at,-0.00162724436055,0.0029684179792,0.00459566233976
university,-0.00146221738061,0.000875926616815,0.00233814399742
who,-0.0014583880903,0.00152476114779,0.00298314923809
for,-0.00142722148603,0.00953786760531,0.0109650890913
also,-0.00141493715412,0.00342260215089,0.00483753930501
way,-0.00127615611424,0.000981362228098,0.00225751834234
difficulty,-0.00122464836695,0.000145987769469,0.00137063613642
which,-0.00120882573417,0.00419309315642,0.00540191889059
lemma,-0.00118505353134,2.43312949115e-05,0.00120938482625
you,-0.00110966634016,0.000502846761505,0.00161251310167
sentence,-0.00108054843237,0.00133822122013,0.0024187696525
state,-0.00107483130717,0.000940810069912,0.00201564137709
because,-0.00106624221425,0.00103002481792,0.00209626703217
linguist,-0.00106576355296,0.00111112913429,0.00217689268725
what,-0.00105908910519,0.000875926616815,0.001935015722
make,-0.0010528933187,0.000559619782965,0.00161251310167
understand,-0.00102236623731,0.000267644244027,0.00129001048134
made,-0.00101997293087,0.000673165825885,0.00169313875675
do,-0.00101042651537,0.000924589206638,0.001935015722
official,-0.00100566671275,0.000364969423673,0.00137063613642
church,-0.000990881833336,0.000137877337832,0.00112875917117
readability,-0.000982771401699,0.000145987769469,0.00112875917117
not,-0.0009430961353,0.00413632013496,0.00507941627026
find,-0.000926477041527,0.000121656474558,0.00104813351608
born,-0.000925998380239,0.000202760790929,0.00112875917117
speak,-0.000916930626025,0.00037307985531,0.00129001048134
meaning,-0.000915467831897,0.00198705575111,0.002902523583
said,-0.000908820194388,0.000381190286947,0.00129001048134
discourse,-0.000892120669825,0.000478515466593,0.00137063613642
sound,-0.000879702286594,0.00121656474558,0.00209626703217
write,-0.000870182681355,9.73251796461e-05,0.000967507861001
studied,-0.000861114927142,0.000267644244027,0.00112875917117
change,-0.000850132527775,0.000762380573894,0.00161251310167
grade,-0.000837740954807,0.000129766906195,0.000967507861001
cognate,-0.000829151861881,0.000218981654204,0.00104813351608
where,-0.00082388658771,0.00111112913429,0.001935015722
history,-0.000819605446379,0.000470405034956,0.00129001048134
one,-0.000812398716792,0.00305763272721,0.00387003144401
known,-0.000810059030877,0.000721828415708,0.00153188744659
about,-0.000808144385724,0.0010462456812,0.00185439006692
someone,-0.000789557026272,9.73251796461e-05,0.000886882205918
something,-0.000789557026272,9.73251796461e-05,0.000886882205918
regional,-0.000789078364984,0.000178429496018,0.000967507861001
thing,-0.000789078364984,0.000178429496018,0.000967507861001
consonant,-0.000762353763631,0.000608282372788,0.00137063613642
this,-0.000739378021794,0.00450128955863,0.00524066758042
same,-0.000734193178413,0.00128144819867,0.00201564137709
help,-0.0007332626661,7.29938847345e-05,0.000806256550834
corder,-0.000725152234463,8.11043163717e-05,0.000806256550834
