term,term_difference,en_tf,sm_tf
is,-0.0149605617961,0.00450346477952,0.0194640265756
he,-0.0126969253052,0.0138124864316,0.0265094117368
born,-0.011325464426,0.00146050167978,0.0127859661058
she,-0.00535617282163,0.00491358429799,0.0102697571196
career,-0.00453239654791,0.0019546829629,0.00648707951081
statistic,-0.00445704215686,5.74967914087e-05,0.00451453894827
wa,-0.00333246409555,0.0144977691661,0.0178302332616
ha,-0.00326979313879,0.00295521031141,0.0062250034502
football,-0.00298693208562,0.000681435752066,0.00366836783769
american,-0.00298679516271,0.000935284605998,0.0039220797687
movie,-0.00271148020438,0.000429250458103,0.00314073066248
player,-0.00269310203581,0.00111536497258,0.00380846700839
an,-0.00266325655631,0.00440094789647,0.00706420445278
played,-0.00231237791291,0.00150027116027,0.00381264907318
in,-0.00224555077878,0.0364134562039,0.0386590069827
for,-0.00223060385976,0.0120936650805,0.0143242689402
known,-0.00221676487111,0.000605431856009,0.00282219672712
club,-0.00209715573772,0.00124013197021,0.00333728770794
national,-0.00158271022932,0.00100250282597,0.00258521305529
play,-0.00144114053868,0.000904300801586,0.00234544134027
international,-0.00138301299778,0.000748446027044,0.00213145902483
former,-0.00134258322911,0.000797936936105,0.00214052016522
actor,-0.00120907068796,0.000506969900378,0.00171604058833
television,-0.00115560799487,0.000853874140043,0.00200948213492
actress,-0.00111146098275,0.000420568754518,0.00153202973727
married,-0.000999991510526,0.000439335790411,0.00143932730094
won,-0.000989584209358,0.00149595630161,0.00248554051096
singer,-0.000951655431705,0.000323874331353,0.00127552976306
also,-0.000950831207004,0.00327305423788,0.00422388544488
hockey,-0.000940112598321,0.000203682123634,0.00114379472196
university,-0.00092797681947,0.000762274369282,0.00169025118875
japanese,-0.000881099226664,0.000173478112957,0.00105457733962
team,-0.000871347099681,0.00207352352814,0.00294487062783
life,-0.000813032710513,0.00123966409397,0.00205269680448
many,-0.000777083273551,0.000604392131029,0.00138147540458
best,-0.000763504987803,0.00100411439969,0.00176761938749
professional,-0.000700296080996,0.000436528532965,0.00113682461396
they,-0.000668261691909,0.00145831825732,0.00212657994923
became,-0.000654190027452,0.00115315897561,0.00180734900307
currently,-0.000650811006854,0.000221149503303,0.000871960510156
july,-0.000649777659302,0.000802095836026,0.00145187349533
nhl,-0.000643754434739,0.000233782161813,0.000877536596552
politician,-0.000610332752888,0.000111770435379,0.000722103188267
june,-0.000596701404929,0.00083983785281,0.00143653925774
award,-0.000584732808609,0.00150978464384,0.00209451745245
january,-0.000581963258729,0.000918700992563,0.00150066425129
from,-0.000577861120319,0.00461835438984,0.00519621551016
english,-0.00056635795351,0.000275631092269,0.000841989045778
called,-0.000539817583379,0.000675769250924,0.0012155868343
september,-0.00053272698307,0.000866870702297,0.00139959768537
started,-0.000525452857023,0.000477545683436,0.00100299854046
february,-0.000524873736939,0.0007771424365,0.00130201617344
york,-0.000523389659247,0.000673377883469,0.00119676754272
march,-0.000519139357828,0.000883246370736,0.00140238572856
august,-0.000504165701453,0.000785304277595,0.00128946997905
may,-0.000502951792039,0.000992833383656,0.0014957851757
december,-0.00049932137317,0.000791542627477,0.00129086400065
