term,term_difference,en_tf,sm_tf
is,-0.00896829281491,0.00840847157162,0.0173767643865
music,-0.00581415448764,0.00558649697816,0.0114006514658
wa,-0.00510289263497,0.0108623625225,0.0159652551574
he,-0.00509957651366,0.00437707929525,0.0094766558089
it,-0.00405279826584,0.00781690857455,0.0118697068404
they,-0.00267759278075,0.00236040939081,0.00503800217155
are,-0.00216129516506,0.00338919343428,0.00555048859935
album,-0.00207776864896,0.00595263308829,0.00803040173724
called,-0.00167866158119,0.00089245676843,0.00257111834962
very,-0.00161724660688,0.000580364685198,0.00219761129207
people,-0.00160098255362,0.000509766632049,0.00211074918567
play,-0.00147515711603,0.000822345598406,0.00229750271444
composer,-0.00142299831329,0.000718152609621,0.00214115092291
opera,-0.00140311109467,0.000620775984587,0.00202388707926
wrote,-0.00136386777557,0.000638303777093,0.00200217155266
not,-0.0012414855691,0.00235894874143,0.00360043431053
were,-0.00121135922691,0.00325335304236,0.00446471226927
instrument,-0.00115377541062,0.00114807040914,0.00230184581976
released,-0.00111035054892,0.00218172328387,0.00329207383279
many,-0.00108400114469,0.00145237236237,0.00253637350706
made,-0.00108052256617,0.000973766250333,0.0020542888165
written,-0.00103515396554,0.000593510529578,0.00162866449511
piece,-0.00101466333538,0.000509766632049,0.00152442996743
famous,-0.00100610633432,0.000222992471326,0.00122909880565
played,-0.00100231052369,0.00108672313537,0.00208903365907
note,-0.000994936880178,0.000612012088334,0.00160694896851
song,-0.000989793954344,0.00369641668626,0.00468621064061
band,-0.000952734719983,0.00461078319533,0.00556351791531
when,-0.000941864722753,0.00137301041297,0.00231487513572
popular,-0.000934058416177,0.000729350921499,0.00166340933768
she,-0.000933546170723,0.00127709443731,0.00221064060803
like,-0.000904716219084,0.00104533806973,0.00195005428882
this,-0.000903622930163,0.00329181680925,0.00419543973941
about,-0.000897974844849,0.00093481560032,0.00183279044517
selena,-0.000889114390315,0.000192318834441,0.00108143322476
can,-0.000880045943116,0.00126979119043,0.00214983713355
lot,-0.000877680325503,0.000121233898166,0.00099891422367
singer,-0.00087110780297,0.000536058320808,0.00140716612378
started,-0.000850184509752,0.000283365978847,0.0011335504886
piano,-0.000820803469853,0.000603735075206,0.00142453854506
because,-0.000818330211421,0.000610551438959,0.00142888165038
musician,-0.000783316165311,0.000749800012756,0.00153311617807
born,-0.000778123111132,0.000246849744459,0.00102497285559
make,-0.000763465093407,0.000539466502684,0.00130293159609
in,-0.000761512384403,0.026999616823,0.0277611292074
by,-0.000740997977854,0.00791915403083,0.00866015200869
ha,-0.000723371527285,0.00239497809269,0.00311834961998
different,-0.000716413570941,0.000621262867712,0.00133767643865
often,-0.000693753135827,0.00100005793909,0.00169381107492
there,-0.00069128257349,0.00111544923976,0.00180673181325
used,-0.000678476329297,0.00147136080425,0.00214983713355
word,-0.000673464008672,0.000403626110763,0.00107709011944
or,-0.000668712206996,0.00355278616434,0.00422149837134
have,-0.000654166422967,0.00209067613946,0.00274484256243
orchestra,-0.000653346429316,0.000441116111401,0.00109446254072
first,-0.000644970662968,0.00274699459219,0.00339196525516
his,-0.000643605474404,0.00502414696859,0.005667752443
american,-0.000643288039294,0.000868112612172,0.00151140065147
some,-0.0006292830603,0.00157701444241,0.00220629750271
movie,-0.000612577456385,0.000195240133192,0.000807817589577
ballet,-0.000608195508258,0.000199622081318,0.000807817589577
