term,term_difference,en_tf,sm_tf
is,-0.00915742716058,0.0144855904494,0.02364301761
people,-0.00623627495974,0.00255059365393,0.00878686861367
they,-0.00489063655294,0.00323495225784,0.00812558881078
it,-0.00414122506389,0.00625807923352,0.0103993042974
are,-0.00335395145046,0.00745299108161,0.0108069425321
person,-0.00321170821955,0.00139913314577,0.00461084136532
not,-0.00232519947147,0.00423324679275,0.00655844626422
wa,-0.00209897811865,0.00458628892968,0.00668526704834
or,-0.00195562266538,0.00844368163203,0.0103993042974
this,-0.00193656556942,0.00446788402837,0.0064044495978
can,-0.00183184253433,0.00341310275156,0.00524494528589
about,-0.00170219508296,0.00142303138273,0.00312522646569
thing,-0.00164598644584,0.000310677080504,0.00195666352634
he,-0.00160823346936,0.00230509358332,0.00391332705268
do,-0.00153909466176,0.000834265726669,0.00237336038843
way,-0.00150363446063,0.000905960437555,0.00240959489818
when,-0.00144929777125,0.00197486339985,0.0034241611711
what,-0.00132791212424,0.00092768610752,0.00225559823176
behaviour,-0.00132713027801,0.000321539915487,0.00164867019349
called,-0.00131831598367,0.000674582052424,0.00199289803609
need,-0.00130708478923,0.000676754619421,0.00198383940865
because,-0.00127763110843,0.00105043614282,0.00232806725125
like,-0.00124070872672,0.000580075388075,0.00182078411479
psychology,-0.00121013871033,0.00143498050121,0.00264511921154
used,-0.00115696720347,0.001569679655,0.00272664685847
who,-0.00114628105979,0.00235940775824,0.00350568881803
how,-0.00112499511068,0.000922254690029,0.00204724980071
get,-0.00109698099758,0.000234637235626,0.00133161823321
child,-0.00109344032268,0.00244848300509,0.00354192332778
problem,-0.00108263005425,0.000964619746461,0.00204724980071
mental,-0.0010660990063,0.00116232334315,0.00222842234945
have,-0.00106321615128,0.0043266671736,0.00538988332488
their,-0.00106285904906,0.00381068251192,0.00487354156098
them,-0.00106086679458,0.000932031241513,0.00199289803609
mind,-0.00104698190457,0.00076474358278,0.00181172548735
many,-0.00103049598395,0.00155121283553,0.00258170881948
mean,-0.00101882497027,0.000394320909871,0.00141314588014
some,-0.0010038651524,0.00233876837177,0.00334263352417
if,-0.000984184205064,0.0011264759877,0.00211066019277
think,-0.000978463327147,0.000190099612197,0.00116856293934
different,-0.000967078054275,0.00101676135438,0.00198383940865
thought,-0.000936823732384,0.000757139598292,0.00169396333068
help,-0.000930099288004,0.000464929337258,0.00139502862526
word,-0.000915098062418,0.000778865268258,0.00169396333068
animal,-0.000873026186022,0.00072129224285,0.00159431842887
something,-0.000871252030562,0.000252017771598,0.00112326980216
make,-0.000864279533475,0.000648511248466,0.00151279078194
feel,-0.000859340501788,0.000318281064992,0.00117762156678
someone,-0.000811799618193,0.000211825282162,0.00102362490036
cause,-0.000803872401584,0.000799504654725,0.00160337705631
these,-0.000772129665049,0.00205416209522,0.00282629176027
very,-0.000755463235112,0.000485568723726,0.00124103195884
other,-0.000742901522486,0.00275372866811,0.00349663019059
stage,-0.000741709909085,0.000508380677189,0.00125009058627
group,-0.000738920929931,0.0011905667141,0.00192948764403
say,-0.000726313991573,0.000252017771598,0.000978331763171
usually,-0.000723923423955,0.000462756770262,0.00118668019422
there,-0.000706140756837,0.00199333021932,0.00269947097616
schizophrenia,-0.000700280777322,0.00033240275047,0.00103268352779
did,-0.000692515176773,0.000630044428995,0.00132255960577
often,-0.000686523731685,0.00139696057877,0.00208348431046
that,-0.0006695909462,0.0135796300118,0.014249220958
idea,-0.000668985299262,0.000662632933943,0.00133161823321
freud,-0.000662629214333,0.000379112940895,0.00104174215523
sport,-0.000659994313618,0.000236809802622,0.00089680411624
bdd,-0.000643918061766,4.4537623429e-05,0.000688455685195
time,-0.00061582133003,0.00133178356888,0.00194760489891
first,-0.000607698627262,0.00111344058572,0.00172113921299
important,-0.000597564973559,0.000607232475531,0.00120479744909
also,-0.000583405796777,0.00318498321692,0.0037683890137
be,-0.000580447762342,0.00624069869755,0.00682114645989
part,-0.000556673354929,0.000684358603908,0.00124103195884
unconscious,-0.000547738753846,0.000340006734958,0.000887745488804
want,-0.000534552993038,0.000135785437283,0.000670338430321
brain,-0.000530384550349,0.000918995839534,0.00144938038988
homosexual,-0.000523122592836,0.000373681523404,0.00089680411624
were,-0.000512214728927,0.00241372193315,0.00292593666208
most,-0.000500306919763,0.00143823935171,0.00193854627147
right,-0.000497145763146,0.000535537764646,0.00103268352779
body,-0.000485196644665,0.000547486883127,0.00103268352779
personality,-0.000481757383256,0.000813626340202,0.00129538372346
psychologist,-0.000473822629025,0.000866854231617,0.00134067686064
illness,-0.000471623729553,0.00030741823001,0.000779041959562
good,-0.00046545559316,0.000295469111529,0.000760924704689
example,-0.000464365590052,0.00133830126987,0.00180266685992
so,-0.000464245283308,0.000640907263978,0.00110515254729
drug,-0.000457152479478,0.000340006734958,0.000797159214436
sometimes,-0.000452532960303,0.000471447038248,0.000923979998551
act,-0.000448169031456,0.000448635084784,0.00089680411624
