term,term_difference,en_tf,sm_tf
japanese,-0.00451674703454,0.000748877534695,0.00526562456924
is,-0.00425966006062,0.00949712873545,0.0137567887961
people,-0.00389067801691,0.0019538895678,0.0058445675847
they,-0.00305090319878,0.00287637053099,0.00592727372977
guadalcanal,-0.00294536622038,0.000473154442376,0.00341852066275
force,-0.00280191811797,0.00169178243065,0.00449370054862
attack,-0.0026257640205,0.000544638207051,0.00317040222755
person,-0.00250931885007,0.000881633097664,0.00339095194773
troop,-0.0023109489702,0.000445922532023,0.00275687150222
about,-0.0023064267411,0.00119480006672,0.00350122680782
or,-0.00221768476356,0.00572210516283,0.00793978992639
identity,-0.00221762216988,0.000980348772692,0.00319797094257
at,-0.00187659894902,0.0034993004803,0.00537589942933
it,-0.00167442971729,0.00609994791897,0.00777437763626
marine,-0.00167211731721,0.000340398879407,0.00201251619662
can,-0.00149321022399,0.00203558529885,0.00352879552284
allied,-0.00144341240077,0.000238279215585,0.00168169161635
are,-0.0013872912083,0.00517406296698,0.00656135417528
battle,-0.00135389827811,0.000245087193173,0.00159898547129
destroyer,-0.00133246393134,0.00018381539488,0.00151627932622
ship,-0.00130860006768,0.000483366408758,0.00179196647644
from,-0.00129164271739,0.00524214274287,0.00653378546026
wa,-0.00119944748317,0.00753983517886,0.00873928266204
henderson,-0.00115343568603,0.000197431350056,0.00135086703609
do,-0.00109381196899,0.000670585792432,0.00176439776142
island,-0.00109216388774,0.000258703148349,0.00135086703609
aircraft,-0.00102000651372,0.00027572309232,0.00129572960604
when,-0.00101952594066,0.00135138355125,0.00237090949191
field,-0.00100942180057,0.000534426240669,0.00154384804124
called,-0.000990008281818,0.000636545904491,0.00162655418631
like,-0.00098899786781,0.000554850173433,0.00154384804124
to,-0.000963210491946,0.0260541302298,0.0270173407217
dispute,-0.000941413908888,5.1059831911e-05,0.000992473740799
on,-0.000909169905863,0.00719603231066,0.00810520221652
supply,-0.00089476847978,0.000180411406086,0.00107517988587
used,-0.000887852675899,0.00101438866063,0.00190224133653
may,-0.000866611365404,0.00208324114197,0.00294985250737
idea,-0.000866117466553,0.000650161859667,0.00151627932622
other,-0.000855016238246,0.00226024855926,0.00311526479751
lunga,-0.000849506211448,0.000142967529351,0.000992473740799
august,-0.00083791108429,0.000319974946642,0.00115788603093
university,-0.000832751187952,0.000738665568313,0.00157141675626
help,-0.000830429497362,0.000272319103526,0.00110274860089
these,-0.000802681071852,0.00165093456512,0.00245361563698
convoy,-0.000800839954322,0.00010892764141,0.000909767595732
who,-0.000797148428747,0.00231811636876,0.00311526479751
conflict,-0.000785396207407,0.0010892764141,0.00187467262151
how,-0.000780344137362,0.000680797758814,0.00146114189618
this,-0.00076801684246,0.00386352728127,0.00463154412373
air,-0.000751464145759,0.000296147025084,0.00104761117084
many,-0.000748589997914,0.00145690720386,0.00220549720178
cruiser,-0.000745702524278,0.00010892764141,0.000854630165688
were,-0.000742805760126,0.00405415065374,0.00479695641386
transport,-0.00073889454669,0.000115735618998,0.000854630165688
battalion,-0.000719144223265,0.000190623372468,0.000909767595732
matanikau,-0.000704517854079,0.000122543596586,0.000827061450666
november,-0.000702124279294,0.000207643316438,0.000909767595732
use,-0.000693560394163,0.000629737926903,0.00132329832107
not,-0.000687740214276,0.0035027044691,0.00419044468337
point,-0.000680990795093,0.000449326520817,0.00113031731591
one,-0.000675952050839,0.00254958760676,0.0032255396576
war,-0.000664235771597,0.00104502455978,0.00170926033138
two,-0.000660459036035,0.00129691973054,0.00195737876658
infantry,-0.000656525206293,0.000142967529351,0.000799492735644
carrier,-0.000649717228705,0.000149775506939,0.000799492735644
attacked,-0.00064631323991,0.000153179495733,0.000799492735644
after,-0.00064616947152,0.00125607186501,0.00190224133653
soldier,-0.000639770182797,0.000738665568313,0.00137843575111
september,-0.000630640514619,0.000279127081114,0.000909767595732
sent,-0.000611262937961,0.000105523652616,0.000716786590577
naval,-0.000609879777185,0.000272319103526,0.00088219888071
back,-0.000603071799597,0.000279127081114,0.00088219888071
different,-0.000602663110732,0.0008033413554,0.00140600446613
there,-0.000600534456421,0.00146711917024,0.00206765362666
october,-0.000592523028545,0.000262107137143,0.000854630165688
castellanos,-0.000590165395857,7.14837646754e-05,0.000661649160533
warship,-0.000587435016402,0.000129351574175,0.000716786590577
if,-0.000584295948083,0.00071143365796,0.00129572960604
way,-0.000582575982637,0.000850997198517,0.00143357318115
regiment,-0.000576886245351,0.000112331630204,0.000689217875555
said,-0.000572399958352,0.00058548607258,0.00115788603093
thing,-0.000564617508853,0.000234875226791,0.000799492735644
behaviour,-0.000558146335934,0.000268915114731,0.000827061450666
sociologist,-0.00054995519757,0.000442518543229,0.000992473740799
pacific,-0.000539105563946,0.000122543596586,0.000661649160533
also,-0.0005384093383,0.00285254260943,0.00339095194773
rabaul,-0.000531960781688,0.000102119663822,0.00063408044551
kawaguchi,-0.000528219988225,7.82917422636e-05,0.000606511730488
someone,-0.0005251528041,0.00010892764141,0.00063408044551
group,-0.000519705370981,0.00273340300164,0.00325310837262
airfield,-0.000511200044254,9.53116862339e-05,0.000606511730488
make,-0.000494817767526,0.000442518543229,0.000937336310755
because,-0.000489657871188,0.000861209164899,0.00135086703609
west,-0.000488719341374,0.000228067249203,0.000716786590577
started,-0.000487035318026,9.19076974399e-05,0.000578943015466
gaza,-0.00048531535258,0.000231471237997,0.000716786590577
night,-0.000480564145108,0.000125947585381,0.000606511730488
know,-0.000480227340438,9.8715675028e-05,0.000578943015466
some,-0.000475934089719,0.00170199439703,0.00217792848675
army,-0.000472000259976,0.000548042195845,0.00102004245582
american,-0.000457337948693,0.000755685512283,0.00121302346098
japan,-0.00045639941888,0.000122543596586,0.000578943015466
think,-0.00045606261421,9.53116862339e-05,0.000551374300444
very,-0.000452959487988,0.0004016706777,0.000854630165688
male,-0.000450229108533,0.000459538487199,0.000909767595732
solomon,-0.000442109854364,8.16957310577e-05,0.000523805585422
operation,-0.000427411600984,0.000565062139815,0.000992473740799
self,-0.000419965956154,0.000241683204379,0.000661649160533
food,-0.000418618737475,0.000132755562969,0.000551374300444
ordered,-0.000411473955217,0.000112331630204,0.000523805585422
unit,-0.00041143801312,0.000388054722524,0.000799492735644
under,-0.000411402071022,0.000663777814843,0.00107517988587
vandegrift,-0.000407396357084,6.12717982932e-05,0.000468668155377
hyakutake,-0.00040399236829,6.46757870873e-05,0.000468668155377
she,-0.00040119010464,0.000673989781226,0.00107517988587
tulagi,-0.000400588379496,6.80797758814e-05,0.000468668155377
against,-0.000398796529855,0.000759089501077,0.00115788603093
most,-0.000392253472741,0.00134457557366,0.0017368290464
did,-0.000392024494364,0.000490174386346,0.00088219888071
admiral,-0.000390376413114,7.82917422636e-05,0.000468668155377
usually,-0.000390003666346,0.000326782924231,0.000716786590577
resolution,-0.000386936482222,0.000357418823377,0.000744355305599
perimeter,-0.000383905240195,0.000112331630204,0.000496236870399
damage,-0.000376760457937,9.19076974399e-05,0.000468668155377
returned,-0.000373693273813,0.000122543596586,0.000496236870399
area,-0.000371937366269,0.000537830229463,0.000909767595732
place,-0.000370253342921,0.0004016706777,0.000771924020621
tanaka,-0.00036961567568,7.14837646754e-05,0.000441099440355
heavy,-0.000366885296225,0.000129351574175,0.000496236870399
combat,-0.000364828526109,0.000241683204379,0.000606511730488
psychology,-0.000361761341985,0.000272319103526,0.00063408044551
next,-0.000357346939182,0.000194027361262,0.000551374300444
