term,term_difference,en_tf,sm_tf
he,-0.00985761398575,0.00722530435664,0.0170829183424
wa,-0.00714486262735,0.0131277076269,0.0202725702543
is,-0.00651550286545,0.0059153144671,0.0124308173325
in,-0.00277933178233,0.0286002872245,0.0313796190068
are,-0.00244084746179,0.00276597561969,0.00520682308148
war,-0.00233188845135,0.005005571678,0.00733746012935
a,-0.00216665074582,0.0311040662325,0.0332707169783
they,-0.00194542636461,0.00226541845189,0.0042108448165
born,-0.00189679765883,0.000334697947517,0.00223149560635
people,-0.00164155323001,0.000589942376336,0.00223149560635
military,-0.00161878514503,0.00341153545911,0.00503032060414
country,-0.00147539013275,0.000768712793407,0.00224410292616
called,-0.00145558601591,0.000662443712148,0.00211802972806
soldier,-0.00145119093733,0.000931592506739,0.00238278344407
many,-0.00136900252582,0.00112724679653,0.00249624932236
it,-0.00136058389767,0.00552301271852,0.0068835966162
died,-0.00133757669535,0.000402233438411,0.00173981013376
world,-0.00126338574895,0.00153543924885,0.00279882499779
there,-0.00117529002357,0.00099316898373,0.0021684590073
united,-0.00117438595544,0.00164965368198,0.00282403963741
used,-0.00117385973953,0.00171321649693,0.00288707623646
army,-0.00114211573287,0.00314437300249,0.00428648873536
very,-0.00102498779203,0.000374424706866,0.0013994124989
can,-0.0009713419545,0.000881934057552,0.00185327601205
when,-0.000899922888524,0.00160893375364,0.00250885664217
state,-0.00089812946467,0.00246802492457,0.00336615438924
sniper,-0.000886307274122,0.000374424706866,0.00126073198099
made,-0.000881430530055,0.00103488208105,0.0019163126111
from,-0.000833381393013,0.0050542369582,0.00588761835121
or,-0.000832232297538,0.00390811995098,0.00474035224852
his,-0.000801726487207,0.00714088499302,0.00794261148023
usually,-0.000780868285751,0.000404219776378,0.00118508806213
also,-0.000750265811764,0.00236374218128,0.00311400799304
garroway,-0.000745981282846,7.3494504796e-05,0.000819475787642
american,-0.000738473459233,0.00105176595377,0.001790239413
an,-0.00072244278101,0.00453480957971,0.00525725236072
because,-0.000695781905342,0.000640593994506,0.00133637589985
served,-0.000690186031253,0.000507509350686,0.00119769538194
went,-0.000676704068129,0.000256237597802,0.000932941665931
started,-0.000673865362061,0.000170825065202,0.000844690427262
other,-0.00066316325537,0.00182047874718,0.00248364200255
ha,-0.000628298527678,0.00165362635791,0.00228192488559
hendrix,-0.000619100267073,0.000313841398859,0.000932941665931
ii,-0.00061417897258,0.000646553008408,0.00126073198099
not,-0.000593893603457,0.00262097294806,0.00321486655152
enemy,-0.000571939659354,0.000751828920684,0.00132376858004
july,-0.000567173878153,0.000542270265117,0.00110944414327
year,-0.000565788144538,0.00159006354295,0.00215585168749
life,-0.000538920468747,0.000671382233001,0.00121030270175
became,-0.000536593266179,0.000976285111006,0.00151287837719
different,-0.000534132412333,0.000297950695119,0.000832083107452
so,-0.000488713528438,0.000620730614831,0.00110944414327
make,-0.000484170086168,0.000360520341094,0.000844690427262
book,-0.000480338211116,0.000276100977477,0.000756439188593
special,-0.00047464608657,0.00055915413784,0.00103380022441
mean,-0.000465359138312,0.000253258090851,0.000718617229163
famous,-0.000459763264223,0.000120173447031,0.000579936711255
job,-0.000449142282381,0.000118187109064,0.000567329391445
word,-0.000438158160725,0.000255244428819,0.000693402589543
fight,-0.000426462471851,0.000216510838453,0.000642973310304
royal,-0.00042537305241,0.00063364181162,0.00105901486403
october,-0.000424053731235,0.000483673295076,0.000907727026311
january,-0.00042198585522,0.000447919211662,0.000869905066882
conflict,-0.000403886474582,0.00051644787154,0.000920334346121
june,-0.000403501059555,0.000491618646946,0.000895119706502
often,-0.000402307826854,0.000707136316416,0.00110944414327
like,-0.00040027693846,0.000381376889752,0.000781653828213
about,-0.000398661303111,0.000862070677878,0.00126073198099
known,-0.000397423519983,0.000749842582716,0.0011472661027
she,-0.000393043153809,0.000565113151742,0.000958156305551
napoleon,-0.000392672451191,8.64057015845e-05,0.000479078152776
get,-0.000390463774293,0.000139043657722,0.000529507432015
dispute,-0.000384645561273,5.66106320726e-05,0.000441256193346
navy,-0.000382911400254,0.000789569342065,0.00117248074232
george,-0.000380168944642,0.000288019005282,0.000668187949924
