term,term_difference,en_tf,simple_tf
is,-0.00825253433344,0.0284031660849,0.0366557004183
it,-0.0049213967758,0.00807563827558,0.0129970350514
number,-0.00472192408413,0.00815326376365,0.0128751878478
or,-0.00369651858501,0.00586848689811,0.00956500548312
we,-0.0022797175939,0.00159908505425,0.00387880264815
are,-0.00210305515972,0.00971612359013,0.0118191787498
this,-0.00208089706226,0.00673271733196,0.00881361439422
rounding,-0.00186204758249,0.000331202082433,0.00219324966492
mathematics,-0.00182196115325,0.00217868869851,0.00400064985175
will,-0.00174983443939,0.00129634565077,0.00304618009017
thing,-0.00162188354123,0.000144900911064,0.0017667844523
you,-0.00157232846924,0.000214763850328,0.00178709231956
how,-0.00151986923313,0.000571841095451,0.00209171032858
way,-0.00148058151733,0.00103759402387,0.0025181755412
used,-0.0014752339732,0.00252541587855,0.00400064985175
they,-0.0014048346348,0.00141795891542,0.00282279355022
same,-0.00132540615623,0.00145677165945,0.00278217781569
would,-0.00131310187057,0.000900455661615,0.00221355753219
can,-0.00125133699231,0.0063031896313,0.00755452662361
example,-0.00124979631612,0.00370532329722,0.00495511961334
people,-0.00123226975822,0.00020958881779,0.00144185857601
there,-0.00121758351991,0.00245814045556,0.00367572397547
get,-0.00116021156557,0.00026133914317,0.00142155070874
value,-0.00115908911045,0.00259786633408,0.00375695544454
rounded,-0.001144452529,0.000155250976141,0.00129970350514
time,-0.00109919816106,0.00133774591108,0.00243694407213
round,-0.00108493965481,0.000214763850328,0.00129970350514
computer,-0.00105725440778,0.000871992982656,0.00192924739044
have,-0.00104657350719,0.00250730326467,0.00355387677186
if,-0.00101479311973,0.00485418052066,0.00586897364039
one,-0.000975512497767,0.00464976673541,0.00562527923317
make,-0.000965204995709,0.000639116518445,0.00160432151415
mathematical,-0.000957194320266,0.00186559922996,0.00282279355022
mean,-0.000948578724485,0.000980668665954,0.00192924739044
called,-0.000929750106039,0.00197427491325,0.00290402501929
because,-0.000923329763642,0.00110745696314,0.00203078672678
that,-0.000914428154883,0.01242784064,0.0133422687949
like,-0.00091181000375,0.000509740704995,0.00142155070874
spiral,-0.000899189070247,0.000238051496749,0.001137240567
different,-0.000894240882836,0.0010350065076,0.00192924739044
graph,-0.000894089652751,0.000507153188726,0.00140124284148
so,-0.000857148420422,0.00151887204991,0.00237602047033
problem,-0.000851030538195,0.00170776073755,0.00255879127574
room,-0.000846812543019,0.000188888687638,0.00103570123066
then,-0.000816442883171,0.00259527881782,0.00341172170099
two,-0.000808831564449,0.0031308946855,0.00393972624995
digit,-0.000804778987031,0.000799542527124,0.00160432151415
out,-0.00078259251422,0.00049680312365,0.00127939563787
answer,-0.000779929382909,0.00023546398048,0.00101539336339
data,-0.000766441214759,0.000411415086772,0.00117785630153
many,-0.00076337163289,0.0015111095011,0.00227448113399
another,-0.000756634642652,0.000928918340574,0.00168555298323
base,-0.000750757793224,0.000569253579182,0.00132001137241
your,-0.000742844014332,4.91628091112e-05,0.000792006823443
true,-0.00074142619288,0.000659816648597,0.00140124284148
say,-0.000734372554799,0.000362252277661,0.00109662483246
math,-0.000707403312335,4.39877765731e-05,0.000751391088908
about,-0.000685519299693,0.000796955010855,0.00148247431055
something,-0.000653065470686,9.83256182223e-05,0.000751391088908
look,-0.000635737382571,7.50379718012e-05,0.000710775354372
negative,-0.000635104086887,0.000644291550983,0.00127939563787
find,-0.000628050448806,0.000346727180047,0.000974777628853
up,-0.000600447910658,0.000597716258141,0.0011981641688
relation,-0.000599112798084,0.000802130043393,0.00140124284148
rule,-0.000590799662472,0.000972906117147,0.00156370577962
half,-0.000587200775307,0.000225113915404,0.000812314690711
object,-0.000586567479623,0.000794367494586,0.00138093497421
program,-0.000575515597658,0.000439877765731,0.00101539336339
at,-0.000566396654767,0.00266255424081,0.00322895089558
down,-0.000565482180424,0.000165601041217,0.00073108322164
run,-0.000563679189923,0.000126788297181,0.000690467487105
what,-0.000558813711391,0.000517503253802,0.00107631696519
angle,-0.000558579772427,0.000395889989158,0.000954469761586
equal,-0.000556377425206,0.00104794408895,0.00160432151415
do,-0.000553246415968,0.000543378416492,0.00109662483246
certain,-0.000550266636815,0.000566666062913,0.00111693269973
logarithm,-0.000548697585278,0.000649466583521,0.0011981641688
line,-0.000547362472704,0.000853880368773,0.00140124284148
give,-0.000544933280356,0.000714154490246,0.0012590877706
kind,-0.000533255196543,0.000258751626901,0.000792006823443
word,-0.00053278022478,0.000685691811287,0.00121847203607
not,-0.00053257933784,0.00484900548812,0.00538158482596
when,-0.00053229815918,0.00178279870935,0.00231509686853
an,-0.000531463976556,0.00651536596536,0.00704682994192
go,-0.000528864689773,0.000222526399135,0.000751391088908
some,-0.0005268064788,0.00207260053148,0.00259940701028
integer,-0.000523833793483,0.00142572146422,0.00194955525771
symbol,-0.000517021188202,0.000579603644258,0.00109662483246
scale,-0.000502989527083,0.000248401561825,0.000751391088908
change,-0.000498282372472,0.00049680312365,0.000995085496121
other,-0.000498027151999,0.00238569000003,0.00288371715202
show,-0.00049451806755,0.000561491030375,0.00105600909792
each,-0.00049223301145,0.0016197851844,0.00211201819585
very,-0.000488716833164,0.000465752928422,0.000954469761586
forever,-0.000484409035273,2.32876464211e-05,0.000507696681694
sometimes,-0.000482991213821,0.000633941485907,0.00111693269973
logarithmic,-0.000475703636777,0.000214763850328,0.000690467487105
than,-0.000473177547877,0.00182161145338,0.00229478900126
shape,-0.000472097655776,0.000137138362257,0.000609236018033
three,-0.00046589706467,0.000732267104129,0.0011981641688
chance,-0.000465353571701,0.000225113915404,0.000690467487105
correlation,-0.00045735708393,0.000111263199567,0.000568620283498
language,-0.00044801838975,0.000871992982656,0.00132001137241
alphabet,-0.000431089658356,0.00015783849241,0.000588928150766
equation,-0.00042809569153,0.00152145956618,0.00194955525771
mathematician,-0.000427242644555,0.000628766453369,0.00105600909792
always,-0.000424028926439,0.000530440835147,0.000954469761586
even,-0.000423553954676,0.000957381019533,0.00138093497421
after,-0.000422225935938,0.000491628091112,0.00091385402705
zero,-0.000420966438407,0.000959968535802,0.00138093497421
us,-0.00041979674359,0.000351902212585,0.000771698956176
often,-0.000416417607716,0.00106605670283,0.00148247431055
point,-0.000415151016348,0.0022045638612,0.00261971487754
direction,-0.000413995509205,0.000256164110632,0.000670159619837
them,-0.000412894335594,0.000582191160527,0.000995085496121
infinity,-0.000407093101209,0.000486453058574,0.000893546159782
use,-0.000405675279756,0.00109710689806,0.00150278217782
smaller,-0.000402626979397,0.000186301171369,0.000588928150766
usually,-0.000402544270518,0.000592541225603,0.000995085496121
take,-0.000400507341055,0.000432115216924,0.000832622557979
triangle,-0.000394940045632,0.000457990379615,0.000852930425247
first,-0.000393122867459,0.00175951106293,0.00215263393038
error,-0.000383963778709,0.000367427310199,0.000751391088908
written,-0.00038388106983,0.000773667364434,0.00115754843426
pascal,-0.000383495900782,0.000124200780912,0.000507696681694
row,-0.000374948826206,0.000173363590024,0.00054831241623
write,-0.000364206498246,0.000204413785252,0.000568620283498
most,-0.000357689259298,0.00108416931671,0.00144185857601
length,-0.000356519564481,0.000476102993498,0.000832622557979
may,-0.000354702386308,0.00177762367681,0.00213232606312
code,-0.00035205344267,0.000175951106293,0.000528004548962
decimal,-0.00034906656968,0.000869405466387,0.00121847203607
precision,-0.000345309358595,0.000263926659439,0.000609236018033
end,-0.000338331335556,0.000230288947942,0.000568620283498
person,-0.000337312870824,0.000150075943602,0.000487388814427
inside,-0.000334099152708,5.17503253802e-05,0.000385849478088
tell,-0.000334099152708,5.17503253802e-05,0.000385849478088
be,-0.000332506402502,0.00978081149685,0.0101133178994
come,-0.000331353312518,0.000196651236445,0.000528004548962
measurement,-0.000327747331517,0.000119025748374,0.000446773079891
doe,-0.000326563449027,0.000851292852504,0.00117785630153
guest,-0.000325159815248,0.000121613264643,0.000446773079891
reason,-0.000324375289479,0.000163013524948,0.000487388814427
idea,-0.000321237186405,0.000328614566164,0.000649851752569
much,-0.000317080618599,0.000414002603041,0.00073108322164
calculate,-0.000312614496787,0.000113850715836,0.000426465212623
wrong,-0.000311596032055,3.36377114971e-05,0.000345233743552
exponent,-0.000311513323176,0.000439877765731,0.000751391088908
know,-0.000311437708134,0.000175951106293,0.000487388814427
difference,-0.000310887121329,0.00033896463124,0.000649851752569
heuristic,-0.000310026980518,0.000116438232105,0.000426465212623
big,-0.000307439464249,0.000119025748374,0.000426465212623
year,-0.000303516835406,0.000326027049895,0.000629543885301
a,-0.000298121736296,0.0433434850222,0.0436416067585
bias,-0.000297873924942,8.79755531463e-05,0.000385849478088
john,-0.000295286408673,9.05630694153e-05,0.000385849478088
